Hindi_TAM	English_Tam
wA_hE_1	es_1
hE_1-pres	pres
0_rahA_hE_1	ing_is_1
yA_hE_1	en_have_1
wA_rahA_hE_1	ing_have_been_1
wA_rahawA_hE_1	ing_keep_on_1
yA_1	ed_1
hE_1-past	past
0_rahA_WA_1	ing_was_1
yA_WA_1	en_had_1
wA_rahA_WA_1	ing_had_been_1
wA_rahawA_WA_1	ing_kept_on_1
wA_WA_1	0_used_to_1
gA_1	0_will_1
wA_rahegA_1	ing_will_be_1
wA_rahA_hogA_1	ing_might_have_been_1
0_rahA_hogA_1	ing_might_be_1
0_rahA_hogA_2	ing_must_be_1
yA_hogA_1	en_might_have_1
nA_hE_1	0_must_1
nA_WA_1	0_was_supposed_to
nA_hogA_1	0_shall_1
nA_hE_1+hI_1	0_ought_to_1
nA_padZawA_hE_1	0_have_to_1
nA_padZA_1	0_had_to_1
nA_padZawA_WA_1	0_had_to_2
nA_padZegA_1	0_will_have_to_3
nA_padZA_hogA_1	0_must_have_had_to_1
nA_cAhiye_1	0_should_1
0_sakawA_hE_1	0_can_1
0_sakawA_WA_1	0_could_1
0_sakA_1	0_could_2
pres	pres
o_1	o_1
o_2	o_2
e_1	e_1
yA_jA_yA_hE_1	
yA_jA_yA_WA_1	
yA_jA_yA_hogA_1	
nA_lagA_1	
